date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
02/02/2024,Tlaxcala,12999.49,2,160,12,19,636
29/01/2024,Guanajuato,12999.89,3,1196,44,30,3256
20/12/2023,Chiapas,12999.98,2,449,18,20,1328
21/05/2024,Tabasco,12999.98,2,1366,51,27,3884
31/08/2024,Tlaxcala,12999.98,2,380,14,8,1088
23/08/2024,Zacatecas,12999.99,1,460,14,3,1186
25/10/2023,Nuevo León,13001.25,9,5008,206,137,15278
02/09/2024,Sinaloa,13016.76,6,1526,51,19,4466
10/11/2023,Quintana Roo,13024.64,12,961,60,59,3657
25/09/2023,Querétaro,13029.35,7,928,52,23,2924
16/10/2023,Guerrero,13033.14,6,473,19,12,1728
12/03/2024,Guanajuato,13037.9,8,1672,61,29,4539
11/01/2024,Aguascalientes,13039,1,203,5,1,548
18/08/2024,Puebla,13041.21,8,1774,60,24,5110
10/01/2024,Tamaulipas,13045.48,4,949,37,32,2957
21/12/2023,Veracruz,13051.78,6,2359,103,68,6272
24/11/2023,Coahuila,13056.96,9,1338,50,36,4360
09/11/2023,Nuevo León,13061.52,14,4769,161,92,14435
19/07/2024,Yucatán,13089.32,10,1962,110,38,6432
12/07/2024,Veracruz,13089.74,7,2504,78,24,6852
28/03/2024,Guerrero,13089.93,3,538,22,10,1955
04/12/2023,Guerrero,13090.33,4,452,15,12,1152
15/08/2023,Yucatán,13097.56,9,1071,50,19,3041
24/10/2023,Querétaro,13102.04,5,1399,73,46,4093
08/02/2024,Coahuila,13109.93,4,895,19,17,2535
02/08/2023,Guerrero,13114.72,3,509,16,11,1450
20/05/2024,Tabasco,13122.81,7,1610,61,32,4664
18/08/2024,Tlaxcala,13129.97,4,266,13,7,888
23/12/2023,Guanajuato,13134.64,3,1614,67,46,3614
11/10/2023,Nuevo León,13135.42,17,4740,187,77,13923
07/05/2024,Chihuahua,13135.62,9,1663,56,22,4429
29/03/2024,Veracruz,13137.18,11,1596,61,31,5164
16/04/2024,Nuevo León,13138.24,13,5084,177,64,14422
30/07/2024,Michoacán,13139,12,1338,68,32,4226
01/12/2023,Sonora,13139.55,6,1854,77,61,5047
07/03/2024,Yucatán,13139.89,6,1303,47,20,3739
22/03/2024,Chiapas,13158.55,5,490,28,14,1608
11/03/2024,Veracruz,13159.45,11,2807,85,41,7620
06/09/2024,Yucatán,13177.57,8,2451,91,24,6581
19/02/2024,Chihuahua,13184.92,4,918,32,32,2792
26/02/2024,Yucatán,13187.84,7,1061,32,34,3304
28/08/2024,Coahuila,13189.84,6,1380,187,166,4073
29/09/2024,Zacatecas,13209.83,4,443,19,7,1234
07/08/2024,Chiapas,13209.9,5,619,31,13,2155
